Name,Serving Size,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugar,Protein
Biriyani,100g,122.5,4.2g,2.1g,15.8g,311.5mg,15.4g,0.4g,0.4g,5.3g
Chole,100g,143.8,8.4g,1.1g,0mg,122mg,14.5g,3.9g,3.5g,3.9g
Dal Makhani,100g,170.9,9.6g,5g,22mg,189mg,15.8g,5.3g,2.4g,6.4g
Dosa,100g,170.5,3.8g,0.6g,0mg,97mg,30g,0.9g,0.2g,4g
Gulab Jamun,100g,293.7,14.6g,3.1g,11mg,88mg,39.7g,0.1g,35.9g,3.9g
Idly,100g,149.5,1.1g,0.2g,0mg,193mg,30.4g,1.4g,0.3g,4.3g
Khichdi,100g,122.4,1.7g,0.9g,3mg,63mg,21.3g,5.8g,1.5g,5.8g
Mango,100g,58.7,0.4g,0.1g,0mg,1mg,15.1g,1.6g,13.7g,0.8g
Omlette,100g,154.0,9.1g,0.6g,0mg,444.6mg,0.9g,0.1g,0.7g,10.4g
Paapad,1 Piece 9g,29.0,1.1g,0.1g,0mg,40mg,3.4g,0.7g,0.6g,1.3g
Plain Rice,100g,127.4,0.3g,0.1g,0mg,1mg,28.4g,0.4g,0.1g,2.7g
Poha,100g,113.8,0.2g,0g,0mg,3mg,24.9g,0g,0g,2.1g
Poori,100g,324.1,22.7g,1.8g,0mg,190mg,28.2g,4.1g,0.2g,5.2g
Rajma,100g,98.5,2.6g,0.6g,1mg,228mg,15.1g,3.7g,3.1g,5.3g
Rasgulla,100g,120.0,1.8g,1g,5.4mg,26mg,25g,0g,25g,1.7g
Roti,100g,296.9,9g,3.3g,0mg,294mg,45.6g,9.5g,3g,7.8g
Sambhar,100g,52.0,0.3g,0g,0mg,80.8mg,10.6g,3g,3.6g,2.8g
Uttapam,100g,200.0,5g,1.1g,0mg,506mg,34.1g,3.3g,4.4g,4.4g
Vada,100g,186.8,12g,0.8g,0mg,312mg,16g,2.8g,0.6g,6.2g
almond,100g,603.7,52.7g,3.9g,0mg,490mg,21.3g,11.1g,4.6g,21g
apple,100g,53.4,0.2g,0g,0mg,1mg,13.8g,2.4g,10.3g,0.3g
apricots,100g,49.1,0.4g,0g,0mg,0mg,10.9g,2g,9.3g,1.4g
banana,100g,87.4,0.3g,0.1g,0mg,1mg,22.4g,2.6g,12.2g,1.1g
dragon fruit,100g,30.2,0.3g,0g,0mg,3mg,7.5g,1.5g,4.5g,0.6g
grapes,100g,69.6,0.2g,0.1g,0mg,2mg,18.1g,0.9g,15.5g,0.7g
guava,100g,67.7,0.9g,0.3g,0mg,1mg,14.4g,5.5g,8.9g,2.5g
oranges,100g,49.8,0.1g,0g,0mg,1mg,12.5g,2.2g,8.6g,0.9g
peach,100g,39.5,0.2g,0g,0mg,0mg,9.7g,1.5g,8.4g,0.9g
pear,100g,56.7,0.1g,0g,0mg,1mg,14.9g,3.1g,9.8g,0.4g
pineapple,100g,50.8,0.1g,0g,0mg,0mg,13g,1.4g,9.9g,0.5g
strawberry,100g,31.3,0.3g,0g,0mg,1mg,7.6g,2g,4.9g,0.7g
sugar apple,100g,96.4,0.3g,0g,0mg,9mg,23.3g,4.4g,0g,2g
walnut,100g,664.8,64.5g,5.9g,0mg,2mg,13.6g,6.9g,2.4g,15.2g
